Major,Degree Type,Early Career Pay,Mid-Career Pay
Speech-Language Pathology,Bachelors,41700,65100
Animal Science,Bachelors,39000,64900
Family & Consumer Science,Bachelors,40500,64900
Drawing & Painting,Bachelors,40600,64500
Music Industry,Bachelors,44400,64500
Technical Theatre,Bachelors,39100,64500
Foods & Nutrition,Bachelors,45000,64400
Physical Therapist Assistant Studies,Bachelors,49100,64400
Recreation Management,Bachelors,40300,64400
Interdisciplinary Studies (IS),Bachelors,42200,64200
Education,Bachelors,41800,64100
Applied Linguistics,Bachelors,44100,64000
Applied Sociology,Bachelors,40100,63800
Business & Healthcare Management,Bachelors,44700,63800
Music Composition,Bachelors,42300,63700
Physical Education & Exercise Science,Bachelors,41000,63700
Behavioral Science,Bachelors,40400,63500
Psychology & Sociology,Bachelors,40600,63400
General Studies,Bachelors,41200,63300
Culinary Arts & Culinary Management,Bachelors,36100,63200
Theatre Arts,Bachelors,40900,63200
Technology Teacher Education,Bachelors,46400,63100
Art,Bachelors,40600,63000
Textiles & Clothing,Bachelors,42900,63000
Video Production,Bachelors,42800,62800
Training and Development,Bachelors,50200,62500
Theology,Bachelors,39300,62300
Restaurant & Food Service Management,Bachelors,41500,62300
Missions,Bachelors,41400,62200
Event Management,Bachelors,39500,62100
Clinical Psychology,Bachelors,40900,62000
Developmental Psychology,Bachelors,31000,62000
Physical Education Teaching,Bachelors,39600,62000
Theatre,Bachelors,39700,62000
Sports Administration,Bachelors,41200,61900
Drawing,Bachelors,36400,61800
Health & Exercise Science,Bachelors,40100,61800
Agricultural Teacher Education,Bachelors,51000,61700
Graphic Arts,Bachelors,41100,61600
New Media,Bachelors,44700,61600
Health Services Administration,Bachelors,40800,61500
Interior Design & Merchandising,Bachelors,40800,61400
Exercise Science,Bachelors,38900,61300
Electronic Media,Bachelors,43700,61200
Exercise & Sports Science,Bachelors,40400,61200
Psychiatry,Bachelors,54700,61200
Supervision & Management,Bachelors,39400,61200
African American & African Studies,Bachelors,43600,61100
Culture Studies,Bachelors,44800,61000
Printmaking,Bachelors,36800,61000
Secondary English Teacher Education,Bachelors,40000,61000
Community Health Education,Bachelors,40200,60900
Culinary Arts,Bachelors,36700,60900
Wildlife Management,Bachelors,37800,60800
Psychology & Philosophy,Bachelors,45400,60800
Mortuary Science,Bachelors,40600,60700
Paralegal Studies,Bachelors,37700,60600
Health Studies,Bachelors,40600,60500
Social Psychology,Bachelors,44400,60500
Health Services Management,Bachelors,39300,60400
Emergency Medical Services (EMS),Bachelors,41600,60300
Recording Arts,Bachelors,40500,60300
English Teacher Education,Bachelors,41300,60200
Social Science Teacher Education,Bachelors,42100,60200
Social Studies Teacher Education,Bachelors,42400,60200
Music Teacher Education,Bachelors,39100,60000
Photography,Bachelors,41500,60000
Teaching English as a Second Language (ESL),Bachelors,41600,59900
Health & Physical Education Teaching,Bachelors,37000,59900
Human Development,Bachelors,40700,59700
Painting,Bachelors,38700,59700
Radio Broadcasting,Bachelors,43200,59700
Recreational Studies,Bachelors,40500,59700
Speech Pathology,Bachelors,40500,59500
Recreation Administration,Bachelors,45000,59400
Dance,Bachelors,42600,59200
Recreation & Leisure Studies,Bachelors,38800,59100
Arts Management,Bachelors,37400,59000
University Studies,Bachelors,40000,59000
Photojournalism,Bachelors,39700,59000
Organizational Administration,Bachelors,42900,58900
Health & Medical Services Administration,Bachelors,37900,58800
Tourism Management,Bachelors,40600,58800
Communicative Disorders,Bachelors,45200,58800
Sculpture,Bachelors,38400,58700
Consumer Affairs,Bachelors,49200,58600
Social Services,Bachelors,38000,58600
Community Health,Bachelors,42900,58500
Justice Studies,Bachelors,43300,58500
Landscape Design,Bachelors,48900,58500
Horticulture,Bachelors,41300,57800
Wildlife Biology,Bachelors,41000,57800
Gender Studies,Bachelors,43100,57700
Nonprofit Management,Bachelors,40400,57200
Athletic Training,Bachelors,39700,57000
Human Development & Family Studies,Bachelors,38300,56800
Biblical Studies,Bachelors,38700,56700
Health Promotion,Bachelors,40000,56700
Home Economics,Bachelors,38200,56500
Theatre Studies,Bachelors,43100,56500
Teaching,Bachelors,39600,56400
Counseling Psychology,Bachelors,39200,56200
Health & Human Performance,Bachelors,36200,56200
Library & Information Science,Bachelors,44700,56000
Art Teacher Education,Bachelors,37500,55900
Hospitality & The Culinary Arts,Bachelors,37400,55900
Musical Theatre,Bachelors,41800,55900
Clinical Social Work (CSW),Bachelors,41700,55800
Biblical Studies & Practical Ministries,Bachelors,35100,55700
Rehabilitation Services,Bachelors,34100,55700
Parks & Recreation Management,Bachelors,40600,55600
Pastoral Ministry,Bachelors,37300,55600
Legal Assistant Studies,Bachelors,36400,55500
Applied Management,Bachelors,43600,55400
Social Welfare,Bachelors,44900,55300
Tourism & Travel,Bachelors,40600,55300
Vocal Performance,Bachelors,38900,55300
Audio Production,Bachelors,43700,54700
Bible Studies & Theology,Bachelors,38100,54700
Church Ministries,Bachelors,38100,54600
Family Studies,Bachelors,35900,54500
Special Education,Bachelors,39200,54500
Ceramics,Bachelors,39900,54400
Communication Sciences & Disorders,Bachelors,40900,54400
Family & Community Services,Bachelors,38500,54400
Speech & Hearing,Bachelors,41400,54300
Community Development,Bachelors,42100,53900
Health and Human Services,Bachelors,41500,53700
Office Management,Bachelors,37800,53400
Psychology & Human Services,Bachelors,35000,53300
History Teacher Education,Bachelors,45400,53000
Youth Ministry,Bachelors,35300,52300
Therapeutic Recreation,Bachelors,37700,52300
Community & Human Services,Bachelors,40500,52100
Christian Ministry,Bachelors,35500,52000
Elementary Education,Bachelors,37700,51600
Social Work (SW),Bachelors,36600,51600
Office Administration,Bachelors,38200,51200
Voice & Opera,Bachelors,32900,50800
Elementary Teaching,Bachelors,34400,50700
Human Services (HS),Bachelors,36600,50700
Baking & Pastry Arts,Bachelors,36000,50600
Human Services Management,Bachelors,43500,50500
Counseling,Bachelors,37100,49300
Recreational Therapy,Bachelors,36400,49200
Child Development,Bachelors,35500,49100
Middle School Education,Bachelors,39000,48300
Educational Psychology,Bachelors,34600,47600
Early Childhood & Elementary Education,Bachelors,36200,46500
Rehabilitation Counseling,Bachelors,38000,46100
Addiction Studies,Bachelors,36300,44800
Outdoor Education,Bachelors,35800,44200
Child & Family Studies,Bachelors,34100,43600
Early Childhood Education,Bachelors,34100,43300
Mental Health,Bachelors,35200,42500
Medical Assisting,Bachelors,35100,42300
Addictions Counseling,Bachelors,38800,42200
Metalsmithing,Bachelors,38300,38400
