Major,Degree Type,Early Career Pay,Mid-Career Pay
Civil & Environmental Engineering,Bachelors,61800,101800
Atmospheric Science,Bachelors,47300,101600
Environmental Engineering,Bachelors,59500,101300
European Studies,Bachelors,45200,101200
Nuclear Engineering Technology (NET),Bachelors,78200,101200
Industrial Management,Bachelors,55100,101000
Information Systems (IS),Bachelors,59900,101000
Sales & Business Marketing,Bachelors,52600,100800
Business Computer Information Systems (BCIS),Bachelors,60200,100700
Organic Chemistry,Bachelors,46000,100700
Business Operations,Bachelors,60500,100600
Business Computer Science,Bachelors,50200,100500
Business Finance,Bachelors,54600,100300
Safety Science,Bachelors,58800,100300
Plastics Engineering Technology,Bachelors,63800,100200
Business Information Systems,Bachelors,61700,100100
International Management,Bachelors,49300,99900
Finance,Bachelors,56800,99800
Agricultural Economics,Bachelors,53000,99700
Economics & Political Science,Bachelors,54200,99400
Interactive Media,Bachelors,50200,99400
Computer Science & Information Technology,Bachelors,63100,99100
Agricultural Engineering (AE),Bachelors,60400,99000
Consumer Economics,Bachelors,51200,99000
International Business,Bachelors,52100,98900
Chinese Language,Bachelors,51200,98700
Financial Planning,Bachelors,50400,98700
Corporate Finance,Bachelors,61000,98500
Architectural Engineering,Bachelors,62400,98400
Building Construction Management,Bachelors,58600,98000
Engineering Technology (ET),Bachelors,55300,97900
Network Engineering,Bachelors,57900,97900
Computer Information Systems (CIS),Bachelors,56900,97800
International Marketing,Bachelors,56200,97800
Psychobiology,Bachelors,45400,97800
Electrical Engineering Technology (EET),Bachelors,63100,97700
Computer Information Systems,Bachelors,55700,97700
Real Estate,Bachelors,56400,97700
Molecular Biology,Bachelors,50500,97700
Operations Management (OM),Bachelors,58000,97300
Cybersecurity,Bachelors,63000,97200
Manufacturing,Bachelors,54100,97200
Construction Trades,Bachelors,56300,97100
International Relations,Bachelors,49900,96800
Politics,Bachelors,50600,96800
Economics & Management,Bachelors,52700,96600
Industrial Hygiene,Bachelors,55800,96200
Software Development,Bachelors,61000,96000
Telecommunications Management,Bachelors,49800,96000
Supply Chain Management,Bachelors,59000,95900
Mechanical Engineering Technology (MET),Bachelors,61200,95800
Accounting & Auditing,Bachelors,55400,95700
Network Security,Bachelors,57500,95700
Entrepreneurship & Leadership,Bachelors,52300,95600
Geological Engineering,Bachelors,59100,95600
Product Design,Bachelors,58600,95500
Electronics,Bachelors,57000,95400
Food Marketing,Bachelors,54500,95400
Safety Management,Bachelors,57400,95400
German Studies,Bachelors,47400,95300
Industrial & Labor Relations,Bachelors,63800,95300
Agricultural Economics & Business,Bachelors,51400,95200
Aviation Management,Bachelors,48400,95200
Biochemistry (BCH),Bachelors,47500,95100
Computer Science (CS) & Business,Bachelors,60800,95000
Construction Science & Management,Bachelors,61500,95000
Accounting & Finance,Bachelors,55800,94900
Comparative Literature,Bachelors,44600,94900
International & Comparative Politics,Bachelors,46100,94900
East Asian Studies,Bachelors,46900,94800
Logistics & Supply Chain Management,Bachelors,56200,94400
Russian & Eastern European Studies,Bachelors,50800,94400
Occupational Health and Safety,Bachelors,57100,94300
Aviation,Bachelors,50000,94000
Manufacturing Technology,Bachelors,57100,94000
Physical Therapy,Bachelors,53500,93900
Labor Relations,Bachelors,48900,93900
Government & International Politics (GVIP),Bachelors,49800,93800
Information Technology (IT),Bachelors,56100,93800
City & Regional Planning,Bachelors,49700,93700
Information Science (IS),Bachelors,62600,93700
Business & Marketing,Bachelors,47800,93600
Agribusiness,Bachelors,48000,93400
Management Studies,Bachelors,43500,93400
Industrial Design (ID),Bachelors,52100,93100
Chemistry,Bachelors,49200,93000
Information Technology (IT) & Systems,Bachelors,58600,93000
Environmental Health & Safety,Bachelors,54500,93000
Electronics Engineering Technology (EET),Bachelors,61600,92900
Organizational Behavior,Bachelors,54000,92900
Analytical Chemistry,Bachelors,54800,92800
Computer Engineering Technology (CET),Bachelors,60100,92800
Food Science & Technology,Bachelors,50200,92800
Project Management,Bachelors,54100,92700
Technical & Scientific Communication,Bachelors,48900,92400
Finance & Banking,Bachelors,52600,92300
